timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-01-10,221.8200,226.7110,216.8000,219.7500,219.7500,18790170,0.0000
2024-12-31,227.5000,239.3500,217.6523,219.8300,219.8300,81535689,0.0000
2024-11-29,207.7700,230.3600,204.0700,227.4100,227.4100,77280587,1.6700
2024-10-31,220.6300,237.3700,203.5100,206.7200,205.0957,105624376,0.0000
2024-09-30,201.9100,224.1500,199.3350,221.0800,219.3428,83415811,0.0000
2024-08-30,192.8100,202.1700,181.8100,202.1300,200.5417,65453729,1.6700
2024-07-31,173.4500,196.2600,173.3800,192.1400,188.9817,81258646,0.0000
2024-06-28,166.5400,178.4599,163.5300,172.9500,170.1072,70706301,0.0000
2024-05-31,165.6900,175.4600,162.6200,166.8500,164.1074,78620355,1.6700
2024-04-30,190.0000,193.2800,165.2605,166.2000,161.8426,98297181,0.0000
2024-03-28,185.4900,199.1800,185.1800,190.9600,185.9534,99921776,0.0000
2024-02-29,183.6300,188.9500,178.7500,185.0300,180.1789,88679550,1.6600
2024-01-31,162.8300,196.9000,157.8850,183.6600,177.2489,128121557,0.0000
2023-12-29,158.4100,166.3400,158.0000,163.5500,157.8409,87358302,0.0000
2023-11-30,145.0000,158.6000,144.4500,158.5600,153.0250,78460252,1.6600
2023-10-31,140.0400,144.7600,135.8700,144.6400,138.0282,94386980,0.0000
2023-09-29,147.2600,151.9299,139.6100,140.3000,133.8866,82806487,0.0000
2023-08-31,144.2500,147.7275,139.7600,146.8300,140.1181,84274205,1.6600
2023-07-31,133.4200,144.6050,131.5500,144.1800,136.0048,85778938,0.0000
2023-06-30,128.4400,139.4690,127.7800,133.8100,126.2228,100722016,0.0000
2023-05-31,126.3500,130.0699,120.5500,128.5900,121.2988,95710890,1.6600
2023-04-28,130.9700,132.6100,124.5600,126.4100,117.6309,83664114,0.0000
2023-03-31,128.9000,131.4800,121.7100,131.0900,121.9859,138093084,0.0000
2023-02-28,134.4900,137.3900,128.8600,129.3000,120.3202,76080679,1.6500
2023-01-31,141.1000,147.1800,132.9800,134.7300,123.8453,105576019,0.0000
2022-12-30,149.9800,153.2100,137.1950,140.8900,129.5076,86426226,0.0000
2022-11-30,138.2500,150.4600,133.9700,148.9000,136.8705,93620235,1.6500
2022-10-31,120.1600,138.8615,115.5450,138.2900,125.6091,113480787,0.0000
2022-09-30,128.4000,130.9900,118.6100,118.8100,107.9154,87256958,0.0000
2022-08-31,130.7500,139.3400,128.4000,128.4500,116.6714,77392342,1.6500
2022-07-29,141.0000,141.8700,125.1300,130.7900,117.3019,129801061,0.0000
2022-06-30,139.6700,144.7300,132.8500,141.1900,126.6294,105815743,0.0000
2022-05-31,133.0000,139.8300,125.8000,138.8400,124.5218,113207659,1.6500
2022-04-29,129.6600,141.8800,124.9100,132.2100,117.1378,107525264,0.0000
2022-03-31,122.6700,133.0800,120.7000,130.0200,115.1975,96447210,0.0000
2022-02-28,133.7600,138.8200,118.8100,122.5100,108.5437,98492968,1.6400
2022-01-31,134.0700,142.2000,124.1930,133.5700,116.9069,147238382,0.0000
2021-12-31,118.2500,134.9900,116.5600,133.6600,116.9856,113930079,0.0000
2021-11-30,125.0500,127.2900,114.5600,117.1000,102.4915,119252012,1.6400
2021-10-29,141.0000,146.0000,124.6200,125.1000,103.2768,144097758,0.0000
2021-09-30,139.9800,140.5700,132.7800,138.9300,114.6942,76644238,0.0000
2021-08-31,141.4500,144.7000,137.2100,140.3400,115.8582,69687056,1.6400
2021-07-30,146.9600,147.5000,136.2089,140.9600,115.0344,110625907,0.0000
2021-06-30,145.0000,152.8400,143.0400,146.5900,119.6290,84365220,0.0000
2021-05-28,143.8100,148.5150,140.9200,143.7400,117.3031,98036425,1.6400
2021-04-30,133.7600,148.7400,130.3800,141.8800,114.4944,122920494,0.0000
2021-03-31,120.3500,137.0700,118.7550,133.2600,107.5382,127967821,0.0000
2021-02-26,119.9000,124.3500,118.1200,118.9300,95.9742,106339228,1.6300
2021-01-29,125.8500,132.2400,117.3600,119.1100,94.8532,176168962,0.0000
2020-12-31,123.9000,127.6900,121.7200,125.8800,100.2444,102587006,0.0000
2020-11-30,112.6500,125.3130,111.1600,123.5200,98.3651,103461100,1.6300
2020-10-30,122.3600,135.5000,105.9200,111.6600,87.6832,159130911,0.0000
2020-09-30,122.8500,129.9500,116.4800,121.6700,95.5438,84510174,0.0000
2020-08-31,123.5000,130.4700,122.1500,123.3100,96.8316,74033007,1.6300
2020-07-31,120.2700,132.1700,115.2000,122.9400,95.2980,113972765,0.0000
2020-06-30,124.6400,135.8800,115.8800,120.7700,93.6159,120931250,0.0000
2020-05-29,123.1900,126.9700,111.8100,124.9000,96.8173,92864791,1.6300
2020-04-30,106.3600,129.3100,104.5200,125.5600,96.0376,130400316,0.0000
2020-03-31,130.7500,136.1000,90.5600,110.9300,84.8475,189585053,0.0000
2020-02-28,144.2500,158.7500,126.3600,130.1500,99.5484,118092333,1.6200
2020-01-31,135.0000,145.7900,133.2000,143.7300,108.7866,112864967,0.0000
2019-12-31,134.4500,136.4200,130.6900,134.0400,101.4524,71661951,0.0000
2019-11-29,134.5000,139.1400,132.7500,134.4500,101.7628,64898948,1.6200
2019-10-31,145.5900,147.3500,130.9000,133.7300,100.0408,92647927,0.0000
2019-09-30,134.8500,146.5700,133.3300,145.4200,108.7858,62083780,0.0000
2019-08-30,148.9000,152.9500,128.8300,135.5300,101.3873,96719129,1.6200
2019-07-31,139.6000,151.9400,139.1300,148.2400,109.6278,80175943,0.0000
2019-06-28,127.1000,140.1500,127.0600,137.9000,101.9810,61342985,0.0000
2019-05-31,140.5500,141.8100,126.8500,126.9900,93.9128,75537897,1.6200
2019-04-30,141.5100,145.3900,136.2600,140.2700,102.5067,80199229,0.0000
2019-03-29,139.3100,142.1200,133.5800,141.1000,103.1133,74688899,0.0000
2019-02-28,134.9700,140.4900,132.1200,138.1300,100.9429,68462024,1.5700
2019-01-31,112.0100,135.4100,111.6900,134.4200,97.0872,120388583,0.0000
2018-12-31,125.6700,126.5900,105.9400,113.6700,82.1002,115600988,0.0000
2018-11-30,115.5000,125.0600,114.5400,124.2700,89.7562,141719180,1.5700
2018-10-31,151.7100,154.3600,114.0900,115.4300,82.3238,198093801,0.0000
2018-09-28,145.9800,153.3500,144.8100,151.2100,107.8418,95868702,0.0000
2018-08-31,144.7600,147.9300,142.0000,146.4800,104.4684,79196876,1.5700
2018-07-31,138.2800,150.5400,138.2000,144.9300,102.2541,95015127,0.0000
2018-06-29,142.4300,147.5200,137.4500,139.7000,98.5641,90243111,0.0000
2018-05-31,144.6500,146.2000,139.9000,141.3100,99.7000,88812832,1.5700
2018-04-30,153.3400,162.0000,144.1100,144.9600,101.1615,122893135,0.0000
2018-03-29,155.5300,162.1100,148.5400,153.4300,107.0724,92113147,0.0000
2018-02-28,163.1900,164.1300,144.4000,155.8300,108.7473,100673819,1.5000
2018-01-31,154.5000,171.1300,153.5400,163.7000,113.0900,140197975,0.0000
2017-12-29,154.4000,157.8500,151.4900,153.4200,105.9882,87525752,0.0000
2017-11-30,154.1000,154.9000,146.2110,153.9700,106.3682,89208545,1.5000
2017-10-31,145.3500,162.5100,145.2100,154.0600,105.3787,121490046,0.0000
2017-09-29,142.9800,147.4200,141.6400,145.0800,99.2363,77056229,0.0000
2017-08-31,145.0000,145.6700,139.1300,143.0300,97.8340,79260314,1.5000
2017-07-31,153.5800,156.0250,143.6400,144.6700,97.9222,91242021,0.0000
2017-06-30,152.8000,157.2000,150.8000,153.8300,104.1223,82652760,0.0000
2017-05-31,160.0500,160.4200,149.7900,152.6300,103.3101,102455942,1.5000
2017-04-28,173.8200,176.3300,159.6000,160.2900,107.4417,80758989,0.0000
2017-03-31,180.4800,182.5500,172.0937,174.1400,116.7253,79476385,0.0000
2017-02-28,175.0000,182.7900,172.8900,179.8200,120.5326,59817600,1.4000
2017-01-31,167.0000,179.2500,165.3400,174.5200,116.0578,88671370,0.0000
2016-12-30,161.9500,169.9520,158.3000,165.9900,110.3852,69463793,0.0000
2016-11-30,153.5000,164.6600,151.0000,162.2200,107.8781,76340912,1.4000
2016-10-31,158.0600,158.5300,147.7900,153.6900,101.2917,78325840,0.0000
2016-09-30,158.3200,165.0000,153.2100,158.8500,104.6925,69951563,0.0000
2016-08-31,160.6500,164.9500,157.8500,158.8800,104.7122,69680582,1.4000
2016-07-29,152.1900,163.6000,149.9200,160.6200,104.9522,69930927,0.0000
2016-06-30,153.0000,155.4800,142.5000,151.7800,99.1760,77115961,0.0000
2016-05-31,146.5600,153.8100,142.9000,153.7400,100.4567,75248178,1.4000
2016-04-29,150.5100,153.5200,142.6100,145.9400,94.4622,94431134,0.0000
2016-03-31,132.2400,153.1000,132.0300,151.4500,98.0286,105698603,0.0000
2016-02-29,124.4000,134.9200,116.9010,131.0300,84.8114,106703104,1.3000
2016-01-29,135.6000,136.8900,118.0000,124.7900,79.9539,126204196,0.0000
2015-12-31,139.5800,141.4000,133.9100,137.6200,88.1742,97650594,0.0000
2015-11-30,140.5000,142.8000,131.6500,139.4200,89.3275,85421426,1.3000
2015-10-30,145.3100,153.1470,137.3300,140.0800,88.9142,120622363,0.0000
2015-09-30,144.8400,149.6800,141.1501,144.9700,92.0181,81761648,0.0000
2015-08-31,161.7000,161.8500,140.6200,147.8900,93.8716,93750967,1.3000
2015-07-31,163.9700,173.7800,158.5000,161.9900,101.9733,93805392,0.0000
2015-06-30,170.2100,171.5601,162.1200,162.6600,102.3951,80845501,0.0000
2015-05-29,173.2000,176.3000,168.8400,169.6500,106.7953,57916093,1.3000
2015-04-30,160.2300,175.1303,158.3900,171.2900,107.0097,93821213,0.0000
2015-03-31,161.6800,165.3500,153.4000,160.5000,100.2688,104899758,0.0000
2015-02-27,154.0000,164.9900,151.5100,161.9400,101.1685,77654705,1.1000
2015-01-30,161.3100,163.3100,149.5200,153.3100,95.1095,117395861,0.0000
